"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033345","KIEV, UP","2022-01-01","5.1",,"5.3","7.0",
"UPM00033345","KIEV, UP","2022-01-02","2.0","10.0","-0.9",,
"UPM00033345","KIEV, UP","2022-01-03","5.1",,"5.5","8.2","-2.3"
"UPM00033345","KIEV, UP","2022-01-04",,,"4.9","6.8",
"UPM00033345","KIEV, UP","2022-01-05","4.3",,"6.7","10.7","2.9"
"UPM00033345","KIEV, UP","2022-01-06",,,"3.0",,
"UPM00033345","KIEV, UP","2022-01-07","1.0","10.0","-1.7",,
"UPM00033345","KIEV, UP","2022-01-08",,"10.0","-3.0","0.2",
"UPM00033345","KIEV, UP","2022-01-09","6.1","20.0","-1.8",,"-3.5"
"UPM00033345","KIEV, UP","2022-01-10",,"99.0","-3.0",,
"UPM00033345","KIEV, UP","2022-01-11","0.5","99.0","-6.1",,
"UPM00033345","KIEV, UP","2022-01-12","0.0","89.0","-13.8","-11.9",
"UPM00033345","KIEV, UP","2022-01-13",,"89.0","-7.4",,
"UPM00033345","KIEV, UP","2022-01-14","0.3","51.0","2.6",,"-1.3"
"UPM00033345","KIEV, UP","2022-01-15","0.5","20.0","2.0",,
"UPM00033345","KIEV, UP","2022-01-16",,"10.0","-0.5",,
"UPM00033345","KIEV, UP","2022-01-17","2.5","10.0","0.1","2.3","-3.1"
"UPM00033345","KIEV, UP","2022-01-18","2.0","30.0","-3.2",,
"UPM00033345","KIEV, UP","2022-01-19",,"20.0","-3.7","-0.4",
"UPM00033345","KIEV, UP","2022-01-20",,"20.0","-0.5","2.5",
"UPM00033345","KIEV, UP","2022-01-21","0.5","10.0","-1.9","-1.0","-3.1"
"UPM00033345","KIEV, UP","2022-01-22",,,"-2.9","-0.5",
"UPM00033345","KIEV, UP","2022-01-23","0.8","79.0","-4.8",,
"UPM00033345","KIEV, UP","2022-01-24",,"61.0","-6.3",,"-9.1"
"UPM00033345","KIEV, UP","2022-01-25",,"51.0","-7.1",,
"UPM00033345","KIEV, UP","2022-01-26",,"61.0","-2.8",,"-6.7"
"UPM00033345","KIEV, UP","2022-01-27",,"51.0","-2.3",,
"UPM00033345","KIEV, UP","2022-01-28","1.3","61.0","1.2","3.7",
"UPM00033345","KIEV, UP","2022-01-29","2.0","30.0","-0.4",,
"UPM00033345","KIEV, UP","2022-01-30","6.1","61.0","0.4","4.3","-3.1"
"UPM00033345","KIEV, UP","2022-01-31","3.0","61.0","-0.2",,
"UPM00033345","KIEV, UP","2022-02-01",,"61.0","-1.6","0.2",
"UPM00033345","KIEV, UP","2022-02-02",,"61.0","-1.5","1.8","-6.7"
"UPM00033345","KIEV, UP","2022-02-03",,"51.0","-0.9","1.6",
"UPM00033345","KIEV, UP","2022-02-04",,"61.0","-6.4","-1.1",
"UPM00033345","KIEV, UP","2022-02-05",,"61.0","-1.9",,
"UPM00033345","KIEV, UP","2022-02-06",,"61.0","1.7","4.5",
"UPM00033345","KIEV, UP","2022-02-07","1.0","51.0","1.8","4.9",
"UPM00033345","KIEV, UP","2022-02-08",,"30.0","1.2","2.0",
"UPM00033345","KIEV, UP","2022-02-09","0.8","41.0","2.2","5.7","0.0"
"UPM00033345","KIEV, UP","2022-02-10",,"20.0","3.7",,
"UPM00033345","KIEV, UP","2022-02-11",,"10.0","3.6","7.0",
"UPM00033345","KIEV, UP","2022-02-12","5.6","51.0","0.1","2.3",
"UPM00033345","KIEV, UP","2022-02-13",,"10.0","-1.1","3.9",
"UPM00033345","KIEV, UP","2022-02-14",,,"0.3","4.7",
"UPM00033345","KIEV, UP","2022-02-15",,,"1.3","6.6","-4.3"
"UPM00033345","KIEV, UP","2022-02-16",,,"0.4","2.0","-2.9"
"UPM00033345","KIEV, UP","2022-02-17",,,"4.5","7.7","0.9"
"UPM00033345","KIEV, UP","2022-02-18","2.0",,"3.2","6.4",
"UPM00033345","KIEV, UP","2022-02-19","0.0",,"4.3","8.6",
"UPM00033345","KIEV, UP","2022-02-20",,,"4.2","7.9",
"UPM00033345","KIEV, UP","2022-02-21",,,"5.6","8.1","1.0"
"UPM00033345","KIEV, UP","2022-02-22",,,"5.8","10.6",
"UPM00033345","KIEV, UP","2022-02-23",,,"2.9","5.5",
"UPM00033345","KIEV, UP","2022-02-24",,,"3.1","4.2","1.9"
"UPM00033345","KIEV, UP","2022-02-25",,,"2.6",,
"UPM00033345","KIEV, UP","2022-02-26",,,"4.6",,
"UPM00033345","KIEV, UP","2022-03-05",,,"0.6","1.0",
"UPM00033345","KIEV, UP","2022-03-06","0.5","10.0","-0.6","0.9","-2.0"
"UPM00033345","KIEV, UP","2022-03-07",,,"-0.6","1.8","-1.5"
"UPM00033345","KIEV, UP","2022-03-08","1.3","10.0","-1.2","1.7",
"UPM00033345","KIEV, UP","2022-03-09","2.0",,"-2.9","0.1","-3.8"
"UPM00033345","KIEV, UP","2022-03-10",,"51.0","-5.0","-2.3","-7.8"
"UPM00033345","KIEV, UP","2022-03-11",,"20.0","-4.1","0.4","-8.6"
"UPM00033345","KIEV, UP","2022-03-12",,,"-0.6","4.3","-5.3"
"UPM00033345","KIEV, UP","2022-03-13","0.3","10.0","-1.2","-0.1",
"UPM00033345","KIEV, UP","2022-03-14",,,"1.7","6.8","-2.2"
"UPM00033345","KIEV, UP","2022-03-15",,,"3.7","10.4","-1.2"
"UPM00033345","KIEV, UP","2022-03-16",,,"-0.5","4.8","-4.8"
"UPM00033345","KIEV, UP","2022-03-17",,,"-1.7","2.4","-5.7"
"UPM00033345","KIEV, UP","2022-03-18",,,"-1.6","3.0","-5.7"
"UPM00033345","KIEV, UP","2022-03-19",,,"1.3","6.0","-3.9"
"UPM00033345","KIEV, UP","2022-03-20",,,"4.6","9.9","-0.9"
"UPM00033345","KIEV, UP","2022-03-21",,,"7.8","13.2","0.4"
"UPM00033345","KIEV, UP","2022-03-22",,,"9.6","16.5","3.7"
"UPM00033345","KIEV, UP","2022-03-23",,,"10.6","16.8","2.2"
"UPM00033345","KIEV, UP","2022-03-24",,,"5.9","9.0",
"UPM00033345","KIEV, UP","2022-03-25",,,"6.3","11.0","1.2"
"UPM00033345","KIEV, UP","2022-03-26",,,"8.8","15.7","3.7"
"UPM00033345","KIEV, UP","2022-03-27",,,"2.2","4.8","0.3"
"UPM00033345","KIEV, UP","2022-03-28",,,"7.4","14.9","-1.7"
"UPM00033345","KIEV, UP","2022-03-29",,,"11.4","18.7","8.7"
"UPM00033345","KIEV, UP","2022-03-30",,,"7.2","9.6",
"UPM00033345","KIEV, UP","2022-03-31",,,"8.2",,"3.7"
"UPM00033345","KIEV, UP","2022-04-01","6.6",,"7.1","10.9",
"UPM00033345","KIEV, UP","2022-04-02","4.1",,"3.5","4.5",
"UPM00033345","KIEV, UP","2022-04-03","1.3",,"1.0","2.3",
"UPM00033345","KIEV, UP","2022-04-04",,"10.0","1.9","6.1","-2.3"
"UPM00033345","KIEV, UP","2022-04-05",,,"3.1","7.4","-1.3"
"UPM00033345","KIEV, UP","2022-04-06",,,"8.2","12.8","2.6"
"UPM00033345","KIEV, UP","2022-04-07",,,"12.8","20.5","4.1"
"UPM00033345","KIEV, UP","2022-04-08",,,"8.7","14.6","6.4"
"UPM00033345","KIEV, UP","2022-04-09",,,"8.4","13.1","3.5"
"UPM00033345","KIEV, UP","2022-04-10","0.8",,"6.4","9.0","5.5"
"UPM00033345","KIEV, UP","2022-04-11",,,"7.3","10.3","3.8"
"UPM00033345","KIEV, UP","2022-04-12",,,"6.7","9.9","4.0"
"UPM00033345","KIEV, UP","2022-04-13",,,"4.9","5.5","4.3"
"UPM00033345","KIEV, UP","2022-04-14",,,"8.6","14.1","5.2"
"UPM00033345","KIEV, UP","2022-04-15",,,"14.4","21.1","6.2"
"UPM00033345","KIEV, UP","2022-04-16",,,"8.8","13.4",
"UPM00033345","KIEV, UP","2022-04-17","8.9",,"2.7","5.2","1.3"
"UPM00033345","KIEV, UP","2022-04-18",,,"2.7","5.7","0.2"
"UPM00033345","KIEV, UP","2022-04-19","1.0",,"5.1","7.7","2.1"
"UPM00033345","KIEV, UP","2022-04-20","0.8",,"6.6","9.7",
"UPM00033345","KIEV, UP","2022-04-21",,,"5.7","7.7","4.0"
"UPM00033345","KIEV, UP","2022-04-22","5.8",,"7.8","10.3","4.8"
"UPM00033345","KIEV, UP","2022-04-23",,,"11.5","18.1","6.3"
"UPM00033345","KIEV, UP","2022-04-24",,,"12.6","17.0","9.2"
"UPM00033345","KIEV, UP","2022-04-25",,,"14.8","20.5","7.9"
"UPM00033345","KIEV, UP","2022-04-26","4.1",,"12.6","16.3",
"UPM00033345","KIEV, UP","2022-04-27",,,"13.0","17.2","8.2"
"UPM00033345","KIEV, UP","2022-04-28",,,"13.1","17.4","8.3"
"UPM00033345","KIEV, UP","2022-05-02",,,"14.9","20.2",
"UPM00033345","KIEV, UP","2022-05-03",,,"15.1","21.3","8.0"
"UPM00033345","KIEV, UP","2022-05-04",,,"12.7","16.9",
"UPM00033345","KIEV, UP","2022-05-05",,,"10.0","16.0","4.2"
"UPM00033345","KIEV, UP","2022-05-06",,,"12.6","19.2","4.5"
"UPM00033345","KIEV, UP","2022-05-07",,,"14.5","20.6","7.6"
"UPM00033345","KIEV, UP","2022-05-08",,,"17.1","22.9","11.3"
"UPM00033345","KIEV, UP","2022-05-09",,,"14.1","17.0",
"UPM00033345","KIEV, UP","2022-05-10",,,"12.0","16.8","6.7"
"UPM00033345","KIEV, UP","2022-05-11",,,"14.0","20.6","6.7"
"UPM00033345","KIEV, UP","2022-05-12",,,"21.1","29.2","13.0"
"UPM00033345","KIEV, UP","2022-05-13",,,"16.4","20.5","11.9"
"UPM00033345","KIEV, UP","2022-05-14",,,"15.2","19.4","11.5"
"UPM00033345","KIEV, UP","2022-05-15",,,"13.8","18.1","9.1"
"UPM00033345","KIEV, UP","2022-05-16",,,"14.1","19.5","8.5"
"UPM00033345","KIEV, UP","2022-05-17",,,"13.9","19.7","8.8"
"UPM00033345","KIEV, UP","2022-05-18",,,"8.5","11.6","5.7"
"UPM00033345","KIEV, UP","2022-05-19",,,"14.5","20.0","7.3"
"UPM00033345","KIEV, UP","2022-05-20","0.5",,"15.8","24.0","11.8"
"UPM00033345","KIEV, UP","2022-05-21",,,"19.3","23.9",
"UPM00033345","KIEV, UP","2022-05-22",,,"11.6","13.2",
"UPM00033345","KIEV, UP","2022-05-23","1.0",,"13.5","17.1","9.4"
"UPM00033345","KIEV, UP","2022-05-24",,,"14.7","20.5","8.0"
"UPM00033345","KIEV, UP","2022-05-25",,,"18.3","24.1","11.1"
"UPM00033345","KIEV, UP","2022-05-26","7.9",,"16.2","20.9","12.3"
"UPM00033345","KIEV, UP","2022-05-27",,,"17.0","22.4",
"UPM00033345","KIEV, UP","2022-05-28",,,"14.1","18.9","9.8"
"UPM00033345","KIEV, UP","2022-05-29",,,"15.5","21.1","9.4"
"UPM00033345","KIEV, UP","2022-05-30","3.6",,"15.3","19.0","12.7"
"UPM00033345","KIEV, UP","2022-05-31",,,"15.8","18.4","13.9"
"UPM00033345","KIEV, UP","2022-06-01",,,"20.4","27.1","13.1"
"UPM00033345","KIEV, UP","2022-06-02",,,"23.3","28.8",
"UPM00033345","KIEV, UP","2022-06-03",,,"17.9","22.0","13.7"
"UPM00033345","KIEV, UP","2022-06-04",,,"18.9","24.3","13.7"
"UPM00033345","KIEV, UP","2022-06-05",,,"18.6","21.4","15.2"
"UPM00033345","KIEV, UP","2022-06-06",,,"19.7","24.6","14.2"
"UPM00033345","KIEV, UP","2022-06-07",,,"21.6","27.1","14.4"
"UPM00033345","KIEV, UP","2022-06-08",,,"23.2","29.1","15.5"
"UPM00033345","KIEV, UP","2022-06-09",,,"24.6","30.3","16.7"
"UPM00033345","KIEV, UP","2022-06-10",,,"24.2","30.2","17.5"
"UPM00033345","KIEV, UP","2022-06-11",,,"25.6","31.9","17.9"
"UPM00033345","KIEV, UP","2022-06-12",,,"23.8","28.5","19.9"
"UPM00033345","KIEV, UP","2022-06-13",,,"23.5","27.9","18.8"
"UPM00033345","KIEV, UP","2022-06-14",,,"18.9","22.2",
"UPM00033345","KIEV, UP","2022-06-15",,,"17.5","22.7","12.9"
"UPM00033345","KIEV, UP","2022-06-16",,,"19.6","25.4","14.1"
"UPM00033345","KIEV, UP","2022-06-17",,,"19.1","25.4","14.7"
"UPM00033345","KIEV, UP","2022-06-18",,,"18.8","23.4","13.9"
"UPM00033345","KIEV, UP","2022-06-19",,,"23.5","29.6","15.2"
"UPM00033345","KIEV, UP","2022-06-20",,,"26.4","31.8","20.3"
"UPM00033345","KIEV, UP","2022-06-21",,,"21.3","30.0",
"UPM00033345","KIEV, UP","2022-06-22",,,"14.8","19.6","11.8"
"UPM00033345","KIEV, UP","2022-06-23","1.0",,"17.7","20.9","13.8"
"UPM00033345","KIEV, UP","2022-06-24",,,"22.3","26.5","16.6"
"UPM00033345","KIEV, UP","2022-06-25",,,"22.8","27.6","17.9"
"UPM00033345","KIEV, UP","2022-06-26",,,"24.0","29.0","18.5"
"UPM00033345","KIEV, UP","2022-06-27",,,"25.7","31.7","19.8"
"UPM00033345","KIEV, UP","2022-06-28",,,"27.7","32.8","21.3"
"UPM00033345","KIEV, UP","2022-06-29",,,"24.5","34.4",
"UPM00033345","KIEV, UP","2022-06-30",,,"23.6","28.3","17.2"
"UPM00033345","KIEV, UP","2022-07-01",,,"24.2","28.9","19.0"
"UPM00033345","KIEV, UP","2022-07-02",,,"22.4","28.0",
"UPM00033345","KIEV, UP","2022-07-03",,,"21.1","27.9","16.3"
"UPM00033345","KIEV, UP","2022-07-04",,,"24.3","30.1","17.1"
"UPM00033345","KIEV, UP","2022-07-05",,,"26.4","32.8","19.6"
"UPM00033345","KIEV, UP","2022-07-06",,,"24.6","34.3",
"UPM00033345","KIEV, UP","2022-07-07",,,"18.9","22.7","15.0"
"UPM00033345","KIEV, UP","2022-07-08","0.8",,"19.7","22.5","16.9"
"UPM00033345","KIEV, UP","2022-07-09","0.5",,"18.3","18.7","17.6"
"UPM00033345","KIEV, UP","2022-07-10",,,"20.3","24.9","15.8"
"UPM00033345","KIEV, UP","2022-07-11",,,"17.2","21.9",
"UPM00033345","KIEV, UP","2022-07-12","11.9",,"15.6","20.9","12.9"
